帐号,客户 ID,有消费天数,总消费,2021/4/1,2021/4/2,2021/4/3,2021/4/4,2021/4/5,2021/4/6,2021/4/7,2021/4/8,2021/4/9,2021/4/10,2021/4/11,2021/4/12,2021/4/13,2021/4/14,2021/4/15,2021/4/16,2021/4/17,2021/4/18,2021/4/19,2021/4/20,2021/4/21,2021/4/22,2021/4/23,2021/4/24,2021/4/25,2021/4/26,2021/4/27,2021/4/28,2021/4/29,2021/4/30
191游戏再次测试,8965107096,21,96630.9,,,,,,,,,,2489.96,8019.94,4264.5,3952.22,4095.14,4210.12,4874.17,4881.51,4898.36,5163.3,5100.95,4939.94,5208.5,4123.19,3966.94,4639.85,4480.58,4580.83,4777.54,4184.26,3779.1
191游戏-战歌凯旋,9498731758,14,26708.2,1216.94,1197.04,1207.07,1319.32,2918.38,3613.33,4028.95,2692.59,2071.38,2201.3,1781.71,1022.79,995.37,442.03,,,,,,,,,,,,,,,,
19-8-21 备用1 - news.oto,3726973557,30,41087.23,2051.37,2544.08,2814.57,2668.13,1950.97,2599.03,1833.51,1241.16,1400.28,1850,1309.17,1062.39,928.37,1496.46,5315.42,3822.68,793.24,723.28,592,547.58,645.13,950.66,578.31,267.92,376.37,314.98,137.02,109.59,83.32,80.24
200102-01王梓人,3695511648,30,99.4,7.07,0,2.7,1.4,1.4,3.14,6.1,10.09,0.48,2,0,0.7,2,0,4.87,0,1.98,0,1.36,2,3.22,13.22,6.35,4,1.69,7.24,3.37,6.7,1.17,5.15
2003-02安晓敏,7018538666,30,989,363.23,357.82,12.61,0,1.2,96.64,5.1,10.34,17.94,0.33,0,0.3,6.82,22.94,6,5.94,3.66,1.2,8.48,15,17.99,15.27,0,0.6,0,3.44,5.59,0,9.98,0.58
2003-04张笑,6309124270,19,10.89,,0.5,0,0,0,0,,0,0,,0,,,1.43,,3.33,0,1,0,0,0,2.34,,,,0,0,2.29,,
20170314www.gtilphone.com,9606299615,30,4290.06,125.79,99.65,94.69,123.02,109.84,122.91,181.27,128.79,136.34,147.8,92.43,89.44,135.47,116.37,109.32,145.93,172.02,53.76,168.25,252.47,219.07,182.36,221.6,96.68,116.54,108.23,257.82,169.9,159.04,153.26
20170804www.siovalve.com,4997408342,28,4632.9,264.23,255.15,182.66,203.85,225.35,330.7,341.97,296.4,252.11,283.42,198.84,231.4,288.41,91.79,157.45,97.98,86.1,33.93,128.78,149.49,81.37,66.53,75.15,51.75,52.63,78.29,99.23,27.94,,
20180108fetopics.com,8526800442,24,1471.2,,,,,,,0,0,5.85,24.22,5.9,5.9,20.31,17.34,31.41,26.74,115.18,126.25,114.09,109.37,91.9,39.16,110.85,155.8,70.31,73.6,68.35,106.78,42.3,109.59
20180613www.zsboxes.com,7127624243,23,6833.89,,,,,,,,103.1,369.07,429.91,398.55,374.62,402.89,275.02,325.64,211.35,292.64,379.47,286.93,127.47,195.91,242.25,236.89,176.21,301.19,268.75,257.06,420.65,330,428.32
20181219www.fstechwin.com,3027514162,29,3717.46,195.51,172.97,171.35,102.41,102.44,58.7,163.24,77.46,194,102.9,207.7,132.22,39.89,,7.45,109.5,62.54,87,160.84,102.56,188.3,131.92,30.73,330.6,85.21,222.72,128.31,156.47,129.64,62.88
2019 | 博新-广州,5942206615,21,3036.18,198.45,134.25,,,,121.18,124.99,173.99,247.55,150.76,131.61,43.59,0,,,0,0.36,,,,,49.18,177.65,229.7,97.58,242.66,182.93,334.57,175.97,219.21
2019 | 晋嵩-广州,3530612642,17,1758.32,,,,,,,,,,,,,,5.85,15,118.68,117.56,144.11,159.33,133.22,79.35,164.93,138.75,29.01,55,142.03,133.95,76.95,78.76,165.84
2019 | 鲁邦通-广州,9764741292,30,3459.02,98.1,89.28,115.76,113.15,101.98,135.73,100.43,112.76,133.82,83.81,78.96,154.68,110.16,124.68,119.64,152.34,108.83,98.86,184.53,125.67,76.56,142.53,64.85,108.31,128.84,145.46,133.44,120.31,108.2,87.35
20190404www.cosunlighting.com,1072861858,30,3858.63,165.98,177.74,137.25,123.08,228.91,176.92,111.4,139.99,99.09,159.63,141.64,96.95,97.15,124.32,189.07,167.06,86.96,100.31,51.75,85.31,85.43,99.36,83.84,96.41,109.8,146.82,214.73,94.78,88.09,178.86
20190411www.immould.com,1286893741,30,20329.29,476.18,1196.78,651.37,481.36,224.07,1441.7,1058.41,789.3,587.5,430.06,510.55,415.79,1542.5,440.28,1047.87,571.83,106.46,249.56,66.45,1068.92,1044.82,1044.18,290.61,510.55,467.74,995.32,522.45,350.98,1108.12,637.58
20190805-04yuntrade.cc,4222391594,7,0,0,,0,,,,0,,,,,0,,0,,,,0,,,,,,,,0,,,,
20190927-www.sunwayautoparts.com,6948199282,30,4550.37,123.8,142.38,121.93,122.27,177.29,155.43,217.94,175.7,184.71,177.25,102.59,163.83,65.65,198.91,134.18,170.49,128.05,159.29,193.98,193.95,90.96,167.61,220.3,136.63,126.43,124.78,143.61,122.37,180.32,127.74
20191024-www.finepouches.com,3634765446,30,5497.3,194.46,178.73,136.06,164.14,175.64,210.57,217.58,247.68,149.81,191.27,185.6,228.45,239.32,177.82,166.04,219.06,170.9,177.19,190.95,178.21,182.57,190.14,216.78,144.47,165.54,154.84,164.7,159.01,215.72,104.05
20191101-www.ptfedf.com,7886692599,2,477.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.07,373.34
20191101-www.tsctube.com,8890860091,30,9026.84,280.85,242.62,95.73,214.71,204.89,344.52,351.1,384.75,283.76,122.73,157.47,151.65,390.17,481.02,325.99,221.55,137.15,217.99,543.89,353.01,577.79,391.55,443.73,196.15,193.49,221.34,636.68,260.11,391.36,209.09
20191121-www.creatingrapid.com,4468335184,28,11400.59,492.93,364.65,355.7,383.34,341.36,579.05,374.05,355.01,393.94,275.72,369.84,220.22,,,145.77,424.85,313.71,330,445.53,508.22,505.67,427.78,294.41,304.21,388.45,513.34,508.15,604.45,604.15,576.09
20191205-www.pvcfoamboardsupplier.com,2270706894,30,7750.55,343.14,194.63,404.37,326.98,365.98,463.97,525.55,261.02,358.69,159.24,176.09,400.39,241.77,223,196.94,209.02,145.95,137.8,244.51,210.06,257.76,212.76,160.54,210.86,125.68,208.14,207.64,129.68,285.22,363.17
20191216-www.aplusexpo.com,7227230098,30,15916.77,435.35,335.09,189.93,185.6,398.66,788.81,698.25,483.86,396.83,534.64,43.33,550.66,706.08,733.89,428.63,355.55,279.27,314.61,549.71,535.67,374.51,448.61,657.8,426.47,86.75,351.82,768.35,682.92,1340.15,1834.97
20191227上海芳鹏合金材料有限公司,9633219848,30,5891.07,271.52,119.72,61.2,32.75,77.11,264.87,306.25,258.34,228.51,61.52,90.37,281.58,259.28,197.58,271.25,179.37,65.25,48.14,298.24,259.24,376.65,234.74,254.58,82.37,81.03,325.41,280.75,215.33,271.23,136.89
2020.02.00旭泰食品机械stfoodindustry.com,7847006219,30,15597.77,511.31,71.6,482.97,558.41,662.14,571.36,590.82,561.97,535.08,500.23,534.57,600.35,691.12,615.61,573.61,545.61,494.45,484.53,511.15,591.71,528.1,542.86,508.64,540.92,470.15,531.78,570.62,529.31,471.82,214.97
2020.05.00XT旭泰satrise*郑州~2020.05.28,3720976419,30,2710.4,89.87,60.61,110.01,104.34,89.75,92.35,109.1,113.39,97.97,87.81,107.99,94.91,114.48,137.09,93.22,72.57,55.48,108.92,108.19,91.93,63.01,92.03,97.86,70.69,77.64,98.98,86.52,67.65,72.5,43.54
20200214-www.fashimdecor.com,8783646011,26,3451.3,154.68,134.65,124.68,157.67,221.61,142.63,203.17,117.29,198.3,140.65,154.56,135.87,131.87,164.92,88.61,120.5,83.51,102.06,130.89,68.66,89.51,74.57,105.85,108.35,,,,,129.41,166.83
20200220-www.js-sulong.com,8041560499,19,845.35,138.94,94.41,94.26,71.02,194.57,181.89,63.8,0.33,,0.35,1.4,,0.42,0.01,,,,,2.75,0.16,0.01,0.01,0.97,0.04,0.01,,,,,
20200220-www.sino-memory.com,6160314423,9,2141.38,,,,,,,,,,,,,,,,,,,,,,121.85,157.99,323.36,205,104.98,260.56,244.93,440.06,282.65
20200227-www.fangyuanjackets.com,6461768752,12,2921.4,92.97,55.28,93.4,49.65,135.75,112.95,51.06,145.76,506.64,764.66,743.61,169.67,,,,,,,,,,,,,,,,,,
20200227-www.nebulaxgroup.com,7199718715,30,5293.1,83.42,0,124.46,33.66,109.15,209.66,0,66.9,65.34,10.23,119.35,197.24,76.59,109.11,332.55,201.51,25.08,243.39,315.75,533.2,166.43,207.53,208.16,124.68,103.5,161.59,516.7,338.83,397.7,211.39
20200305-www.angelssolar.com,4591527792,18,4333.77,410.34,342.83,282.03,125.65,,,,,,,,,,,264.97,0,,,392.94,354.93,222.8,238.92,248.61,100.45,179.64,214.94,267.43,271.7,245.77,169.82
20200312-www.logos-pack.com,6551769176,28,4958.6,195.66,99.86,22.57,,99.34,209.26,181.69,166.83,284.46,99.31,,211.73,221.45,224.89,209.43,85.76,133.66,167.14,264.31,171.33,243.79,194.28,252.53,189.1,267.45,114.92,206.23,261.17,64.24,116.21
20200319-www.twinall.com,5519553152,30,3277.91,74.66,106.42,62.61,140.81,127.44,125.45,83.12,118.55,100.55,41.72,89.95,189.22,151.03,130.19,110.39,79.38,44.81,79.24,246.11,116.2,145.95,145.91,102.98,19.5,121.94,219.38,122.62,27.83,29.49,124.46
20200326-www.mshkins.com,8831529660,29,3763.83,166.75,53.72,41.44,52.79,121.58,45.68,,67.66,110.13,115.88,45.85,238.39,267.7,221.39,315.72,184.95,73.88,46.3,223.37,113.6,145.14,159.71,140.78,38,49.9,74.64,107.87,194.1,244.5,102.41
20200402-www.craftwashitape.com,4505311111,30,6012.33,198.44,130.73,152.63,217.05,182.88,213.47,249.16,208.82,165.92,202.23,227.85,191.46,234.3,232.78,154.2,222.44,149.18,224.9,209.29,207.46,271.31,159.76,190.61,179.87,202.29,186.02,212.2,205.65,217.75,211.68
20200410-www.tdtin.com,3565765225,30,14752.56,475.58,474.05,320.45,479.29,388.28,612.7,488.09,483.34,673.15,298.08,460.42,443.48,490.32,497.83,470.27,528.38,341.3,424.17,536.79,517.81,564.71,570.08,492.31,317.47,658.9,464.99,443.1,763.07,558.1,516.05
20200416-en.confirmware.com,3353085692,30,4346.49,135.33,186.02,190.54,130.11,192.26,130.98,118.5,87.39,125.69,134.43,109.3,114.51,98.3,103.84,94.92,52.83,176.41,190.56,194.85,160.25,100.87,134.2,203.77,104.79,186.02,178.09,121.32,228.73,210.2,151.48
20200423-www.bkvalve.com,5355448576,30,6167.1,139.98,70.75,27.86,11.05,92.01,172.4,236.34,124.43,170.56,100.22,145.24,161.61,235.24,269.57,185.31,322.76,217.55,259.75,325.13,245.28,218.33,195.34,163.6,149.92,94.75,459.92,284.96,377.71,285.65,423.88
20200506-13,1740989758,2,94.09,,,,,,,,,,,,,,,,,44.55,49.54,,,,,,,,,,,,
20200514-www.kinwobag.com,8186906142,30,5297.27,231.82,111.96,130.39,88.75,109.66,138.63,215.67,216.13,186.16,94.62,93.7,138.83,187.92,149.08,176.06,267.56,84.22,158.25,298.56,350.88,269.46,214.32,326.43,90.23,115.57,190.14,154.6,149.12,162.12,196.43
20200611-www.voomig.com,7432421547,13,3595.71,265.48,195.27,201.57,253.98,211.39,164.72,208.1,180.68,381.06,346.44,448.02,375.95,363.05,,,,,,,,,,,,,,,,,
20200730-www.bmscasa.com​,8281905529,30,5529.46,196.92,180.32,138.66,223,270.01,249.06,222.37,275.44,128.49,85.33,159.64,260.36,157.51,304.39,272.43,162.01,138.74,128.95,263.85,167.75,167.13,219.28,234.29,238.79,144.26,59.96,142.96,109.33,103.55,124.68
20200820-www.hongmoglass.com,6592453186,29,5743.98,,69.71,193.31,299.07,155.11,273.36,342.78,203.19,256.4,136.97,192.49,151.31,152.41,189.06,229.27,183.6,172.42,168.01,156.19,200.37,160.6,203.71,195.59,209.13,108.77,205.94,290.01,298.12,179.98,167.1
20200827-www.bobostoy.com,5981116442,29,3266.7,,14.77,130.18,107.06,131.75,124.48,156.64,88.43,146.68,64.66,132.52,127.96,103.25,127.04,123.52,120.15,106.6,100.02,129.99,106.34,112.54,135.43,109.18,117.82,91.06,70.59,146.69,121.5,120.15,99.7
20200904-www.riteoptic.com,4451420341,30,4871.9,138.9,88.03,71,83.7,76.78,89.18,187.15,172.14,169.17,52.78,75.13,131.13,269.93,231.3,295.43,131.09,77.16,177.83,206.71,155.87,276.05,239.53,209.29,107.43,187.72,291.02,252.99,88.99,199.94,138.53
20200917-www.zealway.us,4251380093,13,3234.67,308.6,164.46,65.2,257.55,248.43,357.04,259.78,297.37,262.8,267.39,227.66,228.45,289.94,,,,,,,,,,,,,,,,,
20201022-en.pwithe.com,3061612250,30,13965.26,322.89,486.75,427.5,519.8,988.65,1324.65,1359.64,1072.15,1066.76,805.39,345.83,385.08,513.88,489.88,369.96,354.19,374.6,258.32,291.07,272.31,244.05,210.75,253.81,126.75,302.45,345.96,176.67,95.43,126.27,53.82
20201026-www.lungtinbox.com,1887814458,30,7258.83,39.1,136.68,142.42,62.43,398.56,258.15,186.79,347.79,470.57,155.22,475.9,325.41,185.36,179.9,191.94,419.29,151.07,347.67,153.19,197.89,167.15,63.06,277.01,207.35,149.5,223.46,325.87,376.53,398.28,245.29
20201105-www.hongyigd.com,6627350464,30,4970.96,524.33,453.24,452.39,401.57,582.53,258.64,186.58,147.07,151.64,108.24,170.88,113.95,133.44,119.25,161.37,108.41,125.94,130.26,106.54,113.03,138.13,172.16,96.06,0,1.35,2,1.76,4.96,2.75,2.49
20201117-www.dwbmfg.com,2883370397,30,3214.25,77.62,205.42,136.13,39.97,71.53,142.48,97.69,34.02,97.45,46.21,58.55,141.63,170.67,264.26,72.71,119.19,73.84,91.51,37.23,108.76,134.63,106.08,136.07,0,113.01,136.01,162.17,63.64,101.56,174.21
20201119-www.brushlinker.com,5157476539,13,2210.36,172.42,177.93,169.86,,145.71,198.3,255.62,230.35,126.18,122.46,,98.35,248.61,215.39,49.18,,,,,,,,,,,,,,,
20201126-www.shswipes.com,2378016417,3,22.73,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21.49
20201201-张杰,4349430423,28,86.12,63.35,0,0,,,0,0,1.5,1.5,0,0,0,6,7.19,0,0,0.6,0,0,0,0,0,0,0,0,0,0,5.98,0,0
20201202-孙彦玮,9257305849,30,86.66,2.38,3.75,13.62,0,2,0.99,5.93,0,0,10.11,0.99,1.33,0,5.39,0.85,5,3.08,3.07,5.07,0,1,0,4.06,3.04,0,0,2.89,6.01,6.1,0
20201203-www.hippostone.com,8862975103,30,8068.48,52.66,417.76,326.59,216.75,247.5,389.97,270.37,354.32,303.99,392.96,251.79,250.91,392.51,320.59,256.1,221.03,115.31,199.69,315.84,268.14,380.34,348.52,268.95,243.94,238.15,218.01,208,228.87,204.55,164.37
20201203-www.zcxmachine.com (-New),1364210344,1,29.74,29.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201210-www.xpsproductionline.com,9605692339,30,2525.92,139.23,132.83,5.65,70.87,69.5,97.76,117,36.82,222.88,35.62,61.5,45.64,123.55,107.53,206.73,43.45,46.18,33.88,96.28,42.52,75.24,12.19,60.25,7.18,31.19,128.01,49.42,33.09,163.42,230.51
20201217-www.greatvffs.com,8232266627,30,11670.1,120.71,442.94,462.96,472.18,409.7,651.44,774.38,607.5,682.38,586.24,433.94,15.02,0,0,236.24,431.14,388.54,403.05,425.82,459.05,466.89,402.31,458.2,292.87,282.83,321.82,243.97,479.02,321.23,397.73
2020眼镜,4078563701,30,5688.93,214.06,220.66,220.36,141.65,174.01,149.07,228.26,117.05,142.33,86.68,128.01,77.1,69.06,61.49,157.49,295.72,197.06,138.23,219.57,259.73,276.5,262.14,181.71,218.92,224.54,252.43,274.87,189.94,270.44,239.85
20210114-www.topfastpcb.com (-凌航达 LDP),3799119609,30,6266.88,85.87,201.27,111.12,196.59,153.25,263,234.57,215.81,110.79,255.24,171.68,130.67,263.43,193.06,178.92,176.71,152.77,193.59,93.1,203.67,439.38,375.29,153.62,185.02,191.59,153.12,285.96,469.69,191.82,236.28
20210120-www.bigbearcase.com,6341063264,27,8668.69,321.28,339.3,484.29,361.06,429.92,393.73,426.63,480.08,346.02,328.6,295.29,309.38,313.58,496.86,418.45,310.44,231.92,245.43,349.51,269.38,233.52,186.87,225.37,,,,141.12,181.56,263.56,285.54
20210128-www.bzmaka.com,4808253917,30,9733.64,299.7,379.65,360.28,326.31,450.75,445.53,542.9,368.26,371.91,308.52,293.92,310.61,313.41,444.53,350.32,340.35,316.93,309.94,246.6,304.57,254.53,225.46,195.97,283.84,281.44,291.48,307.9,359.84,280.03,168.16
20210128-www.ibrzled.com,9927362899,30,7020.85,171.55,172.9,157.15,199.69,157.63,241.66,221.08,140,79.96,113.88,0,137.19,140.86,229.63,79.25,332.34,356.21,409.64,491.63,534.61,552.43,174.65,344.43,191.67,126.18,199.55,336.53,305.74,331.35,91.46
20210128-www.xmhouseware.com,1796057848,30,4917.59,98.08,192.91,101.69,79.88,46.91,122.65,179.59,77.18,81.95,70.7,89.61,64.14,178.57,181.27,183.55,110.77,197.46,124.81,262.06,204.48,292.28,225.27,292.51,117.64,143.71,255.26,302.86,241.82,255.34,142.64
20210203-slchair.com,1596115009,3,0,,0,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,
20210223-www.starseedpkg.com,4886589121,30,17726.22,436.46,485.27,450.04,520.92,542.92,519.9,520.64,551.01,510.26,456.69,485.51,585.63,818.92,529.37,768.77,699.19,543.08,481.19,598.8,717.28,582.06,527.81,695.65,469.04,601.69,635.75,844.56,669.42,703.24,775.15
20210308-www.starseedmakeup.com,9403186635,30,13108.73,567.79,542.1,516.84,557.72,397.93,421.83,590.6,559.15,482.72,344.7,721.79,266.44,558.92,534.07,349.03,402.72,562.47,428.83,379.73,455.09,366.16,342.02,462.37,263.39,501.16,234.34,306.13,385.79,396.79,210.11
20210401-www.plc-sensors.com,1903649235,18,4057.94,,,,,,,,,,,,,92.83,496.04,407.73,219.62,183.99,125.24,220.4,198.07,242.43,166.68,124.11,113.39,132.61,171.23,167.25,394.4,302.14,299.78
20210421-gymdappe.com,8385419015,8,4651.65,,,,,,,,,,,,,,,,,,,,,,,33.78,330.25,451.71,660.73,715.33,1015.56,681.45,762.84
20210422-www.sondergym.com,5996347845,2,179.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.73,159.83
2nolan-所有品项-sdsrm-pur-jew-葡萄牙-耳机,7944824874,30,2151.48,55.48,51.31,48.05,54.73,54.69,49.29,51.71,52.15,47.49,52.01,91.15,95.82,136.19,115.53,98.14,98.57,93.7,97.16,108.8,91.34,88.31,69.27,49.23,50.63,50.37,48.49,48.83,67.8,65.87,69.37
3ERP- Leon,7171486801,30,7735.81,254.51,214.82,157.52,135.48,322.67,263.19,330.93,342.7,256.12,399.46,199.53,256.91,270.91,304.9,148.78,398.49,337.2,316.19,196.74,255.86,230.48,274.24,246.53,166.35,109.18,231.31,323.41,254.84,359.69,176.87
4-北京播实之星医药科技有限公司,8400329323,26,891.77,52.19,21.77,22.54,,39.93,55.56,26,36.2,49,15.39,,47.92,34.13,29.39,25.34,43.77,11.41,,27.58,60.19,21.39,41.26,44.33,11.55,,59.44,17.49,45.17,18.89,33.94
59S光电,2466429029,30,19190.72,451.83,382.49,544.41,897.17,606.62,395.6,594.39,609.2,471.4,638.66,594.82,493.07,428.85,587.51,826.96,690.01,845.68,675.89,644.81,871.85,718.62,702.33,492.97,666.95,491.63,595.54,775.7,1127.44,569.47,798.85
795-657-9844,7956579844,30,100545.68,3383.68,1748.57,1743.5,1909.35,1958.17,3697.44,3242.27,3472.63,2542.83,2287.61,2475.95,2828.81,3948.45,4190.58,3279.16,3785.93,3283.53,2414.45,2451.18,2507.37,3141.94,4109.19,3206.94,2942.32,3873.85,5406.05,5110.78,5267.16,5207.94,5128.05
825-864-1349,8258641349,30,10144.58,388.28,604.68,381.19,140.54,318.03,200.96,670.32,511.57,436.99,433.54,191.12,270.52,407.44,338.89,531.63,449.17,329.77,285.45,195.17,330.61,291.1,175.86,330.12,407.84,319.6,204.94,263.24,260.43,224.76,250.82
860-897-8015,8608978015,30,72110.81,2770.08,3417.54,2949.31,1782.75,1825.1,2881.34,3267.4,2911.44,2102.87,2184.47,1767.43,1759.07,1986.24,2277.94,1974.18,2574.74,2049.2,2099.36,2195.72,3023.74,1562.3,2230.68,1720.32,3295.41,1130.46,1300.54,1735.74,2696.48,4599.53,4039.43
